index,val
2430,solar
2431,wind
2432,wind
2433,wind
2434,wind
2435,solar
2436,solar
2437,wind
2438,wind
2439,wind
2440,wind
2441,wind
2442,wind
2443,wind
2444,solar
2445,solar
2446,solar
2447,solar
2448,solar
2449,solar
2450,solar
2451,solar
2452,solar
2453,wind
2454,wind
2455,wind
2456,wind
2457,wind
2458,wind
2459,wind
2460,wind
2461,wind
2462,wind
2463,wind
2464,solar
2465,wind
2466,wind
2467,wind
2468,wind
2469,wind
2470,wind
2471,wind
2472,wind
2473,wind
2474,wind
2475,wind
2476,wind
2477,wind
2478,wind
2479,wind
2480,wind
2481,wind
2482,wind
2483,wind
2484,wind
2485,wind
2486,wind
2487,wind
2488,wind
2489,solar
2490,solar
2491,solar
2492,solar
2493,solar
2494,solar
2495,solar
2496,solar
2497,solar
2498,solar
2499,solar
2500,solar
2501,solar
2502,solar
2503,solar
2504,solar
2505,solar
2506,solar
2507,solar
2508,solar
